username,raw_password,country,language,is_onsite
ARE,ARE,ARE,ar,1
ARG,ARG,ARG,es,1
ARM,ARM,ARM,hy,1
AUS,AUS,AUS,en,1
AUT,AUT,AUT,de,1
AZE,AZE,AZE,az,1
BEL,BEL,BEL,en,1
BGD,BGD,BGD,en,1
BGR,BGR,BGR,bg,1
BIH,BIH,BIH,bs,1
BLR,BLR,BLR,be,1
BOL,BOL,BOL,es,1
BRA,BRA,BRA,pt,1
CAN,CAN,CAN,en,1
CHE,CHE,CHE,de,1
CHL,CHL,CHL,es,1
CHN,CHN,CHN,zh_Hans,1
COL,COL,COL,es,1
CUB,CUB,CUB,es,1
CYP,CYP,CYP,el,1
CZE,CZE,CZE,cs,1
DEU,DEU,DEU,de,1
DNK,DNK,DNK,da,1
DOM,DOM,DOM,es,1
DZA,DZA,DZA,ar,1
ECU,ECU,ECU,es,1
EGY,EGY,EGY,ar,1
ESP,ESP,ESP,es,1
EST,EST,EST,et,1
FIN,FIN,FIN,fi,1
FRA,FRA,FRA,fr,1
GBR,GBR,GBR,en,1
GEO,GEO,GEO,ka,1
GHA,GHA,GHA,en,1
GRC,GRC,GRC,el,1
HKG,HKG,HKG,en,1
HRV,HRV,HRV,hr,1
HUN,HUN,HUN,hu,1
IDN,IDN,IDN,id,1
IND,IND,IND,en,1
IRL,IRL,IRL,en,1
IRN,IRN,IRN,fa,1
ISL,ISL,ISL,is,1
ISR,ISR,ISR,he,1
ITA,ITA,ITA,it,1
JOR,JOR,JOR,en,1
JPN,JPN,JPN,ja,1
KAZ,KAZ,KAZ,kk,1
KGZ,KGZ,KGZ,ky,1
KOR,KOR,KOR,ko,1
LBY,LBY,LBY,ar,1
LKA,LKA,LKA,si,1
LTU,LTU,LTU,lt,1
LUX,LUX,LUX,de,1
LVA,LVA,LVA,lv,1
MAC,MAC,MAC,zh,1
MAR,MAR,MAR,fr,1
MDA,MDA,MDA,ro,1
MEX,MEX,MEX,es,1
MKD,MKD,MKD,mk,1
MNE,MNE,MNE,cnr,1
MNG,MNG,MNG,mn,1
MYS,MYS,MYS,en,1
NGA,NGA,NGA,en,1
NLD,NLD,NLD,nl,1
NOR,NOR,NOR,nb,1
NZL,NZL,NZL,en,1
PAK,PAK,PAK,ur,1
PER,PER,PER,es,1
PHL,PHL,PHL,en,1
POL,POL,POL,pl,1
PRT,PRT,PRT,pt,1
PSE,PSE,PSE,ar,1
ROU,ROU,ROU,ro,1
RUS,RUS,RUS,ru,1
RWA,RWA,RWA,en,1
SAU,SAU,SAU,ar,1
SGP,SGP,SGP,en,1
SLV,SLV,SLV,es,1
SRB,SRB,SRB,sr,1
SVK,SVK,SVK,sk,1
SVN,SVN,SVN,sl,1
SWE,SWE,SWE,sv,1
SYR,SYR,SYR,ar,1
THA,THA,THA,th,1
TJK,TJK,TJK,tg,1
TKM,TKM,TKM,tk,1
TUN,TUN,TUN,fr,1
TUR,TUR,TUR,tr,1
TWN,TWN,TWN,zh,1
UKR,UKR,UKR,uk,1
USA,USA,USA,en,1
UZB,UZB,UZB,uz,1
VEN,VEN,VEN,es,1
VNM,VNM,VNM,vi,1
ZAF,ZAF,ZAF,en,1
